"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"211","Las Vegas Raiders","DST","10","DST11","186","267","222","225.0"
"240","Tank Bigsby","JAC","12","RB68","","212","240","226.0"
"214","Tampa Bay Buccaneers","DST","11","DST12","198","222","261","227.0"
"241","Gardner Minshew II","LV","10","QB33","","254","201","227.5"
"282","Joshua Karty","LAR","6","K21","","","228","228.0"
"215","Houston Texans","DST","14","DST13","204","266","217","229.0"
"216","Dawson Knox","BUF","12","TE26","140","258","292","230.0"
"244","Greg Dulcich","DEN","14","TE30","","245","216","230.5"
"245","Juwan Johnson","NO","12","TE31","","220","242","231.0"
"247","Malachi Corley","NYJ","12","WR81","","183","281","232.0"
"286","Leonard Fournette","","","RB77","","","233","233.0"
"219","New England Patriots","DST","14","DST14","177","262","263","234.0"
"248","Dustin Hopkins","CLE","10","K16","205","","265","235.0"
"250","Greg Zuerlein","NYJ","12","K17","212","","262","237.0"
"251","D'Onta Foreman","CLE","10","RB69","","242","232","237.0"
"289","Jameis Winston","CLE","10","QB38","","","237","237.0"
"224","Daniel Carlson","LV","10","K11","193","268","257","239.3"
"225","Detroit Lions","DST","5","DST15","196","257","266","239.7"
"252","Cairo Santos","CHI","7","K18","202","","278","240.0"
"253","Zach Ertz","WAS","14","TE32","","249","231","240.0"
"229","Jason Myers","SEA","10","K12","206","293","225","241.3"
"230","New Orleans Saints","DST","12","DST16","220","261","243","241.3"
"255","Minnesota Vikings","DST","6","DST21","217","270","","243.5"
"233","Cameron Dicker","LAC","5","K13","216","263","252","243.7"
"256","Jalen McMillan","TB","11","WR82","","204","287","245.5"
"257","Dylan Laube","LV","10","RB71","","236","255","245.5"
"258","Tyler Boyd","TEN","5","WR83","","253","239","246.0"
"259","Luke McCaffrey","WAS","14","WR84","","196","297","246.5"
"235","Seattle Seahawks","DST","10","DST17","208","226","306","246.7"
"260","Javon Baker","NE","14","WR85","","201","296","248.5"
"261","Miles Sanders","CAR","11","RB72","","292","205","248.5"
"262","Cincinnati Bengals","DST","12","DST22","218","","280","249.0"
"263","Sam Darnold","MIN","6","QB34","","275","223","249.0"
"296","Brenden Rice","LAC","5","WR93","","251","","251.0"
"266","Jacoby Brissett","NE","14","QB35","","300","203","251.5"
"267","Kenneth Gainwell","PHI","5","RB73","","284","219","251.5"
"298","Joe Flacco","IND","14","QB39","","","254","254.0"
"242","Indianapolis Colts","DST","14","DST18","219","298","246","254.3"
"268","Colby Parkinson","LAR","6","TE33","","240","271","255.5"
"246","Green Bay Packers","DST","10","DST19","211","296","260","255.7"
"269","Jalin Hyatt","NYG","11","WR86","","256","258","257.0"
"270","Justice Hill","BAL","14","RB74","","274","241","257.5"
"271","New York Giants","DST","11","DST23","","271","244","257.5"
"249","Chicago Bears","DST","7","DST20","215","291","268","258.0"
"273","Aidan O'Connell","LV","10","QB36","","289","229","259.0"
"274","Theo Johnson","NYG","11","TE34","","241","279","260.0"
"275","Jacksonville Jaguars","DST","12","DST24","221","301","","261.0"
"277","Michael Penix Jr.","ATL","12","QB37","","273","253","263.0"
"278","Jelani Woods","IND","14","TE35","","234","293","263.5"
"280","Tucker Kraft","GB","10","TE36","","244","284","264.0"
"300","Tennessee Titans","DST","5","DST27","","264","","264.0"
"301","Deneric Prince","KC","6","RB80","","","264","264.0"
"281","Devontez Walker","BAL","14","WR87","","246","285","265.5"
"283","Jamaal Williams","NO","12","RB76","","286","247","266.5"
"284","DJ Chark Jr.","LAC","5","WR88","","248","286","267.0"
"302","Sam Howell","SEA","10","QB40","","","267","267.0"
"285","Daniel Bellinger","NYG","11","TE37","","288","248","268.0"
"287","Hayden Hurst","LAC","5","TE38","","278","259","268.5"
"288","Isaac Guerendo","SF","9","RB78","","238","302","270.0"
"303","Calvin Austin III","PIT","9","WR96","","","270","270.0"
"291","Michael Mayer","LV","10","TE39","","255","288","271.5"
"305","Chase Claypool","BUF","12","WR98","","272","","272.0"
"306","Jordan Mason","SF","9","RB81","","","272","272.0"
"293","Zay Jones","ARI","11","WR91","","247","298","272.5"
"307","Dalvin Cook","","","RB82","","","273","273.0"
"308","Royce Freeman","DAL","7","RB83","","","274","274.0"
"290","Jalen Tolbert","DAL","7","WR89","","237","312","274.5"
"292","Greg Dortch","ARI","11","WR90","","239","311","275.0"
